Track_ID,Window_Index,X_Coord,Y_Coord,Velocity_X,Velocity_Y
313,1,1140.0,391.0,-0.08056334406137466,-0.00014519691467285156
313,2,1140.0,391.0,-0.20789159834384918,0.22123678028583527
313,3,1140.0,391.0,-0.09051521867513657,0.018654823303222656
313,4,1140.0,391.0,-0.005728165153414011,0.009282827377319336
313,5,1140.0,391.0,-0.15047812461853027,0.012567996978759766
313,6,1140.0,391.0,-0.1391938477754593,0.0020983219146728516
313,7,1139.0,391.0,-0.07484321296215057,-0.00462265033274889
313,8,1139.0,391.0,-0.13456697762012482,-0.008262825198471546
313,9,1139.0,391.0,-0.06706476211547852,-0.021368226036429405
313,10,1139.0,391.0,-0.12253179401159286,-0.006383752916008234
313,11,1139.0,391.0,-0.040200233459472656,0.0012972832191735506
313,12,1139.0,391.0,-0.03115110471844673,0.003527355147525668
313,13,1139.0,391.0,-0.06400986015796661,0.0017849921714514494
313,14,1139.0,391.0,-0.06781435012817383,0.00464706402271986
313,15,1139.0,391.0,-0.006792831234633923,0.003922653384506702
313,16,1139.0,391.0,-0.07490739971399307,0.02834777906537056
313,17,1139.0,391.0,0.0056972503662109375,0.0002635955752339214
313,18,1139.0,391.0,-0.015071074478328228,-0.01236426830291748
314,0,515.0,388.0,0.08385320752859116,-0.1469552367925644
314,1,515.0,388.0,-0.011330691166222095,0.009192249737679958
314,2,515.0,388.0,-0.004395311698317528,0.004963874816894531
314,3,515.0,388.0,0.0042517404071986675,0.001413995516486466
314,4,516.0,388.0,-0.015338290482759476,0.00938692968338728
314,5,516.0,388.0,-0.001010981504805386,0.0018224283121526241
314,6,516.0,388.0,-0.005995702929794788,0.0030373812187463045
314,7,516.0,388.0,0.0017169316997751594,0.0011051760520786047
314,8,516.0,388.0,-0.016500048339366913,-0.0003725157876033336
314,9,516.0,388.0,-0.010254723951220512,0.0003773484786506742
314,10,515.0,388.0,-0.005459361709654331,0.00014146168541628867
314,11,515.0,389.0,-0.03090439923107624,0.0066091748885810375
314,12,515.0,389.0,0.01758885383605957,0.012126624584197998
314,13,515.0,389.0,0.00026339292526245117,0.0005267858505249023
314,14,515.0,389.0,-0.034269630908966064,-0.01440170407295227
315,0,645.0,397.0,-0.48758554458618164,0.013439655303955078
315,1,644.0,397.0,-0.3130640983581543,0.10746097564697266
315,2,644.0,397.0,-0.44295358657836914,-0.000995635986328125
315,3,645.0,397.0,-0.29793643951416016,0.007171154022216797
315,4,642.0,395.0,-0.2573728561401367,0.08215490728616714
315,5,641.0,395.0,-0.33979669213294983,-0.024961471557617188
315,6,640.0,394.0,-0.2312954217195511,-0.042717140167951584
315,7,638.0,394.0,-0.22888310253620148,-0.014398574829101562
315,8,638.0,394.0,-0.25040102005004883,-0.13853804767131805
315,9,636.0,393.0,-0.1432725191116333,-0.04623055458068848
315,10,636.0,394.0,-0.1489248275756836,-0.054860591888427734
316,0,475.0,384.0,-0.1288413405418396,-0.005777252838015556
316,1,475.0,384.0,-0.05979323387145996,0.00037744309520348907
316,2,474.0,385.0,-0.2204321324825287,-0.007734417915344238
316,3,474.0,385.0,-0.21228556334972382,-0.018053244799375534
316,4,473.0,384.0,-0.22454945743083954,-0.06923797726631165
316,5,473.0,384.0,-0.1913653463125229,-0.011152373626828194
316,6,473.0,384.0,-0.2092961072921753,-0.01850259304046631
316,7,473.0,384.0,-0.22271758317947388,0.0012524724006652832
316,8,473.0,384.0,-0.32554537057876587,0.009476729668676853
317,0,1075.0,384.0,-0.036412376910448074,-0.008502347394824028
317,1,1075.0,383.0,-0.03645624592900276,-0.006778103765100241
317,2,1076.0,384.0,-0.01943937875330448,-0.007653077598661184
317,3,1075.0,384.0,-0.02486572228372097,-0.0064642904326319695
317,4,1075.0,383.0,0.002346038818359375,0.004754829220473766
317,5,1075.0,383.0,-0.052425067871809006,-0.020136436447501183
